Nome,Coluna,Variavel,Apath 4.00,Tipo,CompWhere,Tamanho banco,Apath tabela,Apath tabela pai
fq72315,njq720940,tpArma,nfeProc/NFe/infNFe/det/prod/arma/tpArma,Integer,,1,,
fq72315,njq720941,nSerie,-,Integer,,9,,
fq72315,njq720942,nCano,-,Integer,,9,,
fq72315,njq720943,descr,nfeProc/NFe/infNFe/det/prod/arma/descr,String,,256,,
fq72315,njq721218,nSerie,nfeProc/NFe/infNFe/det/prod/arma/nSerie,String,,15,,
fq72315,njq721219,nCano,nfeProc/NFe/infNFe/det/prod/arma/nCano,String,,15,,
fq72316,nkq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/comb,nfeProc/NFe/infNFe/det
fq72316,nkq720653,nSequencia,nfeProc/NFe/infNFe/det/@nItem,Integer,,3,,
fq72316,nkq720946,cProdANP,nfeProc/NFe/infNFe/det/prod/comb/cProdANP,Integer,,9,,
fq72316,nkq720947,codif,nfeProc/NFe/infNFe/det/prod/comb/CODIF,Integer,,21,,
fq72316,nkq720948,qTemp,nfeProc/NFe/infNFe/det/prod/comb/qTemp,Integer,,16,,
fq72316,nkq720949,ufCons,nfeProc/NFe/infNFe/det/prod/comb/UFcons,String,,2,,
fq72316,nkq720950,qBCProd,nfeProc/NFe/infNFe/det/prod/comb/CIDE/qBCProd,Integer,,16,,
fq72316,nkq720951,vAliqProd,nfeProc/NFe/infNFe/det/prod/comb/CIDE/vAliqProd,Integer,,15,,
fq72316,nkq720952,vCide,nfeProc/NFe/infNFe/det/prod/comb/CIDE/vCIDE,Integer,,15,,
fq72316,nkq720953,vBcicms,-,Integer,,15,,
fq72316,nkq720954,vBcicmSst,-,Integer,,15,,
fq72316,nkq720955,vIcmSst,-,Integer,,15,,
fq72316,nkq720956,vBcIcmsStDest,-,Integer,,15,,
fq72316,nkq720957,vIcmsStDest,-,Integer,,15,,
fq72316,nkq720958,vBcIcmsStCons,-,Integer,,15,,
fq72316,nkq720959,vIcmsSTCons,-,Integer,,15,,
fq72316,nkq721220,pMixGn,-,Decimal,,6,,
fq72316,nkq722405,descAnp,nfeProc/NFe/infNFe/det/prod/comb/descANP,String,,95,,
fq72316,nkq722406,pGlp,nfeProc/NFe/infNFe/det/prod/comb/pGLP,Decimal,,15,,
fq72316,nkq722407,pGnn,nfeProc/NFe/infNFe/det/prod/comb/pGNn,Decimal,,15,,
fq72316,nkq722408,pGni,nfeProc/NFe/infNFe/det/prod/comb/pGNi,Decimal,,15,,
fq72316,nkq722409,vPart,nfeProc/NFe/infNFe/det/prod/comb/vPart,Decimal,,15,,
fq72316,nkq722424,nBico,nfeProc/NFe/infNFe/det/prod/comb/encerrante/nBico,Integer,,3,,
fq72316,nkq722425,nBomba,nfeProc/NFe/infNFe/det/prod/comb/encerrante/nBomba,Integer,,3,,
fq72316,nkq722426,nTanque,nfeProc/NFe/infNFe/det/prod/comb/encerrante/nTanque,Integer,,3,,
fq72316,nkq722427,vEncIni,nfeProc/NFe/infNFe/det/prod/comb/encerrante/vEncIni,Decimal,,15,,
fq72316,nkq722428,vEncFin,nfeProc/NFe/infNFe/det/prod/comb/encerrante/vEncFin,Decimal,,15,,
fq72336,nfq72c100,id,${chaveDeAcesso},String,,100,nfeProc/NFe/infNFe/infRespTec,
fq72336,nfq72c154,infRespTecCnpj,nfeProc/NFe/infNFe/infRespTec/CNPJ,String,,20,,
fq72336,nfq720806,infRespTecXContato,nfeProc/NFe/infNFe/infRespTec/xContato,String,,60,,
fq72336,nfq720824,infRespTecEmail,nfeProc/NFe/infNFe/infRespTec/email,String,,60,,
fq72336,nfq720823,infRespTecFone,nfeProc/NFe/infNFe/infRespTec/fone,String,,60,,
fq72336,nfq72c385,infRespTecIdCsrt,nfeProc/NFe/infNFe/infRespTec/idCSRT,String,,20,,
fq72336,nfq72c386,infRespTecHashCsrt,nfeProc/NFe/infNFe/infRespTec/hashCSRT,String,,60,,
fq72300a,nfq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/infAdic,
fq72300a,nfq720653,nSequencia,${'0'},Integer,,10,,
fq72300a,nfq721200,infAdicInfCpl,nfeProc/NFe/infNFe/infAdic/infCpl,String,,5000,,
